x	y	r	phi
-0.4420	-0.0000	0.4420	-3.1416
-0.4430	0.0018	0.4430	3.1376
-0.4430	0.0036	0.4430	3.1334
-0.4440	0.0055	0.4440	3.1291
-0.4439	0.0074	0.4440	3.1250
-0.4449	0.0093	0.4450	3.1206
-0.4449	0.0111	0.4450	3.1166
-0.4458	0.0131	0.4460	3.1122
-0.4458	0.0149	0.4460	3.1081
-0.4457	0.0168	0.4460	3.1040
-0.4466	0.0188	0.4470	3.0996
-0.4465	0.0206	0.4470	3.0956
-0.4475	0.0221	0.4480	3.0923
-0.4474	0.0240	0.4480	3.0879
-0.4482	0.0259	0.4490	3.0838
-0.4491	0.0278	0.4500	3.0798
-0.4500	0.0299	0.4510	3.0753
-0.4499	0.0317	0.4510	3.0713
-0.4497	0.0337	0.4510	3.0669
-0.4506	0.0356	0.4520	3.0628
-0.4514	0.0376	0.4530	3.0585
-0.4523	0.0396	0.4540	3.0543
-0.4531	0.0415	0.4550	3.0503
-0.4529	0.0435	0.4550	3.0459
-0.4538	0.0450	0.4560	3.0427
-0.4536	0.0469	0.4560	3.0385
-0.4544	0.0490	0.4570	3.0342
-0.4552	0.0510	0.4580	3.0301
-0.4549	0.0528	0.4580	3.0260
-0.4557	0.0549	0.4590	3.0217
-0.4565	0.0569	0.4600	3.0175
-0.4572	0.0590	0.4610	3.0132
-0.4570	0.0609	0.4610	3.0091
-0.4577	0.0630	0.4620	3.0048
-0.4595	0.0647	0.4640	3.0017
-0.4592	0.0667	0.4640	2.9974
-0.4589	0.0686	0.4640	2.9933
-0.4596	0.0707	0.4650	2.9890
-0.4603	0.0727	0.4660	2.9848
-0.4610	0.0748	0.4670	2.9807
-0.4616	0.0770	0.4680	2.9764
-0.4623	0.0790	0.4690	2.9723
-0.4629	0.0812	0.4700	2.9680
-0.4636	0.0831	0.4710	2.9641
-0.4633	0.0851	0.4710	2.9600
-0.4639	0.0872	0.4720	2.9559
-0.4646	0.0887	0.4730	2.9529
-0.4652	0.0907	0.4740	2.9491
-0.4668	0.0930	0.4760	2.9451
-0.4674	0.0951	0.4770	2.9409
-0.4671	0.0969	0.4770	2.9371
-0.4676	0.0990	0.4780	2.9330
-0.4682	0.1011	0.4790	2.9289
-0.4688	0.1031	0.4800	2.9251
-0.4703	0.1055	0.4820	2.9210
-0.4710	0.1071	0.4830	2.9180
-0.4715	0.1093	0.4840	2.9139
-0.4721	0.1112	0.4850	2.9102
-0.4716	0.1132	0.4850	2.9060
-0.4721	0.1154	0.4860	2.9019
-0.4736	0.1177	0.4880	2.8981
-0.4741	0.1198	0.4890	2.8940
-0.4755	0.1223	0.4910	2.8899
-0.4761	0.1239	0.4920	2.8870
-0.4766	0.1260	0.4930	2.8831
-0.4771	0.1282	0.4940	2.8790
-0.4775	0.1304	0.4950	2.8750
-0.4789	0.1328	0.4970	2.8711
-0.4793	0.1350	0.4980	2.8670
-0.4798	0.1371	0.4990	2.8632
-0.4802	0.1394	0.5000	2.8591
-0.4806	0.1416	0.5010	2.8550
-0.4821	0.1436	0.5030	2.8521
-0.4825	0.1457	0.5040	2.8482
-0.4828	0.1480	0.5050	2.8441
-0.4832	0.1503	0.5060	2.8401
-0.4845	0.1527	0.5080	2.8362
-0.4848	0.1550	0.5090	2.8321
-0.4851	0.1573	0.5100	2.8280
-0.4864	0.1598	0.5120	2.8243
-0.4858	0.1618	0.5120	2.8201
-0.4872	0.1639	0.5140	2.8172
-0.4865	0.1659	0.5140	2.8130
-0.4878	0.1684	0.5160	2.8092
-0.4889	0.1710	0.5180	2.8051
-0.4883	0.1730	0.5180	2.8010
-0.4895	0.1756	0.5200	2.7972
-0.4906	0.1783	0.5220	2.7931
-0.4899	0.1802	0.5220	2.7891
-0.4912	0.1824	0.5240	2.7860
-0.4924	0.1850	0.5260	2.7823
-0.4935	0.1877	0.5280	2.7781
-0.4946	0.1905	0.5300	2.7740
-0.4957	0.1931	0.5320	2.7702
-0.4968	0.1958	0.5340	2.7662
-0.4981	0.1981	0.5360	2.7631
-0.4973	0.2001	0.5360	2.7591
-0.4983	0.2027	0.5380	2.7552
-0.4993	0.2055	0.5400	2.7511
-0.5004	0.2082	0.5420	2.7473
-0.4996	0.2102	0.5420	2.7432
-0.5005	0.2131	0.5440	2.7391
-0.5015	0.2158	0.5460	2.7353
-0.5027	0.2181	0.5480	2.7323
-0.5037	0.2210	0.5500	2.7282
-0.5046	0.2238	0.5520	2.7242
-0.5056	0.2265	0.5540	2.7203
-0.5064	0.2294	0.5560	2.7162
-0.5073	0.2324	0.5580	2.7121
-0.5084	0.2347	0.5600	2.7091
-0.5075	0.2367	0.5600	2.7053
-0.5084	0.2396	0.5620	2.7012
-0.5092	0.2425	0.5640	2.6971
-0.5119	0.2462	0.5680	2.6933
-0.5127	0.2491	0.5700	2.6893
-0.5116	0.2512	0.5700	2.6851
-0.5089	0.2523	0.5680	2.6813
-0.5117	0.2556	0.5720	2.6783
-0.5142	0.2595	0.5760	2.6742
-0.5149	0.2625	0.5780	2.6701
-0.5157	0.2654	0.5800	2.6663
-0.5182	0.2694	0.5840	2.6622
-0.5191	0.2718	0.5860	2.6593
-0.5198	0.2749	0.5880	2.6551
-0.5187	0.2769	0.5880	2.6513
-0.5194	0.2799	0.5900	2.6473
-0.5217	0.2840	0.5940	2.6431
-0.5224	0.2869	0.5960	2.6393
-0.5229	0.2901	0.5980	2.6352
-0.5238	0.2926	0.6000	2.6322
-0.5244	0.2957	0.6020	2.6281
-0.5250	0.2987	0.6040	2.6244
-0.5272	0.3028	0.6080	2.6202
-0.5277	0.3060	0.6100	2.6161
-0.5282	0.3090	0.6120	2.6123
-0.5308	0.3126	0.6160	2.6093
-0.5312	0.3158	0.6180	2.6052
-0.5316	0.3190	0.6200	2.6012
-0.5321	0.3221	0.6220	2.5973
-0.5342	0.3263	0.6260	2.5932
-0.5346	0.3295	0.6280	2.5892
-0.5349	0.3328	0.6300	2.5850
-0.5356	0.3355	0.6320	2.5821
-0.5376	0.3398	0.6360	2.5780
-0.5379	0.3431	0.6380	2.5738
-0.5382	0.3463	0.6400	2.5698
-0.5384	0.3496	0.6420	2.5657
-0.5403	0.3540	0.6460	2.5616
-0.5410	0.3567	0.6480	2.5586
-0.5428	0.3612	0.6520	2.5545
-0.5447	0.3656	0.6560	2.5504
-0.5448	0.3690	0.6580	2.5463
-0.5451	0.3722	0.6600	2.5425
-0.5468	0.3766	0.6640	2.5385
-0.5472	0.3796	0.6660	2.5351
-0.5507	0.3851	0.6720	2.5314
-0.5508	0.3885	0.6740	2.5272
-0.5508	0.3919	0.6760	2.5231
-0.5524	0.3965	0.6800	2.5191
-0.5545	0.4005	0.6840	2.5160
-0.5545	0.4039	0.6860	2.5120
-0.5560	0.4086	0.6900	2.5079
-0.5575	0.4133	0.6940	2.5037
-0.5591	0.4179	0.6980	2.4997
